# maPhieu|maSV|maSach|ngayMuon|ngayHanTra|ngayTra|trangThai
P001|SV001|S001|2026-06-01|2026-06-15|NULL|0
P002|SV002|S002|2026-05-10|2026-06-24|NULL|0
P006|GV001|S003|2026-05-01|2026-05-15|2026-05-20|1
P004|SV005|S001|2026-05-20|2026-06-03|NULL|2
P005|GV002|S004|2026-06-10|2026-06-24|NULL|0
P005|GV002|S005|2026-06-10|2026-06-19|NULL|1
P003|SV003|S005|2026-06-01|2026-06-26|NULL|0
P007|SV001|S003|2026-06-01|2026-06-15|NULL|0
P008|SV001|S005|2026-06-01|2026-06-15|NULL|0
P010|SV002|S002|2026-06-02|20216-06-24|NULL|0
P011|GV001|S002|2026-06-02|2026-06-25|NULL|0
P013|SV012|S002|2026-06-02|2026-06-25|NULL|0
P014|SV028|S002|2026-06-01|2026-06-23|NULL|0
P009|SV002|S005|2026-05-10|2026-05-22|NULL|2
